Temparature,Humidity,Soil Type,Crop Type,Suitable Season
26.0,52.0,Sandy,Maize,"Kharif, Rabi, Summer"
34.0,65.0,Black,Cotton,Kharif
26.0,52.0,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
25.0,50.0,Red,Cotton,Kharif
33.0,64.0,Loamy,Wheat,Rabi
27.0,54.0,Clayey,Pulses,"Rabi, Kharif"
31.0,62.0,Sandy,Maize,"Kharif, Rabi, Summer"
25.0,50.0,Loamy,Cotton,Kharif
33.0,64.0,Clayey,Pulses,"Rabi, Kharif"
25.0,50.0,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
28.0,54.0,Black,Cotton,Kharif
29.0,58.0,Loamy,Wheat,Rabi
26.0,52.0,Sandy,Maize,"Kharif, Rabi, Summer"
30.0,60.0,Red,Cotton,Kharif
26.0,52.0,Clayey,Pulses,"Rabi, Kharif"
36.0,68.0,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
26.0,52.0,Loamy,Wheat,Rabi
30.0,60.0,Loamy,Cotton,Kharif
27.0,54.0,Clayey,Pulses,"Rabi, Kharif"
35.0,67.0,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
38.0,70.0,Loamy,Wheat,Rabi
33.0,64.0,Sandy,Maize,"Kharif, Rabi, Summer"
28.0,54.0,Clayey,Pulses,"Rabi, Kharif"
30.0,60.0,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
31.0,62.0,Red,Cotton,Kharif
34.0,65.0,Loamy,Wheat,Rabi
30.0,60.0,Loamy,Wheat,Rabi
34.0,65.0,Black,Cotton,Kharif
28.0,54.0,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
36.0,68.0,Red,Cotton,Kharif
25.0,50.0,Clayey,Pulses,"Rabi, Kharif"
26.0,52.0,Clayey,Pulses,"Rabi, Kharif"
34.0,65.0,Loamy,Wheat,Rabi
30.0,60.0,Sandy,Maize,"Kharif, Rabi, Summer"
26.0,52.0,Clayey,Pulses,"Rabi, Kharif"
34.0,65.0,Red,Cotton,Kharif
29.0,58.0,Black,Cotton,Kharif
31.0,62.0,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
35.0,67.0,Clayey,Pulses,"Rabi, Kharif"
36.0,68.0,Loamy,Wheat,Rabi
29.0,58.0,Loamy,Cotton,Kharif
28.0,54.0,Sandy,Maize,"Kharif, Rabi, Summer"
25.0,50.0,Clayey,Pulses,"Rabi, Kharif"
38.0,72.0,Loamy,Wheat,Rabi
27.58,59.21,Loamy,Cotton,Kharif
27.25,63.62,Black,Wheat,Rabi
25.59,63.6,Clayey,Cotton,Kharif
27.66,53.58,Red,Cotton,Kharif
28.27,52.88,Black,Wheat,Rabi
28.74,56.8,Loamy,Cotton,Kharif
26.02,52.46,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
30.63,61.45,Black,Maize,"Kharif, Rabi, Summer"
33.52,60.46,Black,Pulses,"Rabi, Kharif"
33.24,69.48,Clayey,Cotton,Kharif
29.04,71.09,Sandy,Maize,"Kharif, Rabi, Summer"
38.56,73.46,Black,Pulses,"Rabi, Kharif"
30.87,63.94,Sandy,Cotton,Kharif
25.83,51.1,Sandy,Maize,"Kharif, Rabi, Summer"
31.92,62.59,Sandy,Pulses,"Rabi, Kharif"
27.53,55.04,Sandy,Pulses,"Rabi, Kharif"
30.82,51.91,Red,Wheat,Rabi
32.53,59.45,Loamy,Cotton,Kharif
28.17,58.69,Sandy,Cotton,Kharif
29.21,64.21,Red,Wheat,Rabi
26.01,59.52,Loamy,Pulses,"Rabi, Kharif"
29.5,55.42,Red,Cotton,Kharif
32.98,62.02,Red,Wheat,Rabi
24.24,59.04,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
33.54,59.28,Clayey,Wheat,Rabi
32.19,68.94,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
28.38,52.02,Loamy,Wheat,Rabi
25.4,43.57,Red,Maize,"Kharif, Rabi, Summer"
34.95,64.93,Clayey,Wheat,Rabi
35.56,74.88,Clayey,Cotton,Kharif
23.42,53.65,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
31.03,69.0,Loamy,Maize,"Kharif, Rabi, Summer"
31.78,44.27,Loamy,Maize,"Kharif, Rabi, Summer"
26.39,52.62,Sandy,Cotton,Kharif
26.75,56.87,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
29.89,48.59,Clayey,Pulses,"Rabi, Kharif"
21.78,55.6,Loamy,Maize,"Kharif, Rabi, Summer"
30.42,70.37,Red,Wheat,Rabi
35.39,52.28,Sandy,Pulses,"Rabi, Kharif"
38.4,67.88,Clayey,Maize,"Kharif, Rabi, Summer"
33.59,66.16,Sandy,Pulses,"Rabi, Kharif"
26.75,58.1,Clayey,Maize,"Kharif, Rabi, Summer"
27.31,57.3,Loamy,Wheat,Rabi
22.59,45.7,Black,Maize,"Kharif, Rabi, Summer"
31.52,44.64,Red,Barley,"Rabi, Kharif, Zaid, Summer"
30.64,57.57,Red,Wheat,Rabi
36.5,65.85,Loamy,Maize,"Kharif, Rabi, Summer"
35.13,65.69,Black,Maize,"Kharif, Rabi, Summer"
29.77,46.18,Loamy,Cotton,Kharif
30.15,60.77,Clayey,Cotton,Kharif
29.37,64.45,Black,Cotton,Kharif
30.41,67.24,Loamy,Cotton,Kharif
31.9,55.45,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
35.85,52.79,Clayey,Cotton,Kharif
28.87,49.91,Red,Pulses,"Rabi, Kharif"
31.56,55.15,Red,Barley,"Rabi, Kharif, Zaid, Summer"
34.15,63.96,Red,Barley,"Rabi, Kharif, Zaid, Summer"
30.7,57.71,Sandy,Wheat,Rabi
26.7,63.42,Sandy,Cotton,Kharif
25.73,52.9,Red,Cotton,Kharif
25.36,50.91,Loamy,Wheat,Rabi
26.44,65.84,Clayey,Pulses,"Rabi, Kharif"
28.93,50.28,Red,Wheat,Rabi
30.06,53.68,Sandy,Maize,"Kharif, Rabi, Summer"
35.29,64.13,Clayey,Pulses,"Rabi, Kharif"
24.61,63.9,Loamy,Pulses,"Rabi, Kharif"
30.2,51.16,Red,Barley,"Rabi, Kharif, Zaid, Summer"
31.1,55.48,Sandy,Cotton,Kharif
31.75,62.4,Black,Wheat,Rabi
27.29,57.56,Black,Pulses,"Rabi, Kharif"
29.73,58.67,Red,Barley,"Rabi, Kharif, Zaid, Summer"
25.93,54.07,Loamy,Maize,"Kharif, Rabi, Summer"
26.47,55.37,Sandy,Maize,"Kharif, Rabi, Summer"
21.92,53.0,Black,Barley,"Rabi, Kharif, Zaid, Summer"
28.29,60.24,Black,Pulses,"Rabi, Kharif"
31.31,73.26,Loamy,Pulses,"Rabi, Kharif"
30.05,58.21,Loamy,Cotton,Kharif
24.51,62.55,Loamy,Pulses,"Rabi, Kharif"
23.66,55.66,Red,Wheat,Rabi
35.01,71.58,Black,Wheat,Rabi
36.92,69.78,Clayey,Maize,"Kharif, Rabi, Summer"
27.77,42.89,Red,Barley,"Rabi, Kharif, Zaid, Summer"
39.65,63.55,Red,Cotton,Kharif
37.27,64.08,Red,Barley,"Rabi, Kharif, Zaid, Summer"
27.93,64.17,Black,Pulses,"Rabi, Kharif"
23.82,47.74,Black,Cotton,Kharif
34.57,69.61,Clayey,Pulses,"Rabi, Kharif"
35.1,70.14,Loamy,Pulses,"Rabi, Kharif"
33.71,59.42,Black,Barley,"Rabi, Kharif, Zaid, Summer"
24.75,45.31,Clayey,Cotton,Kharif
32.22,56.29,Black,Maize,"Kharif, Rabi, Summer"
40.0,80.0,Clayey,Cotton,Kharif
25.85,62.32,Red,Cotton,Kharif
30.61,66.36,Red,Barley,"Rabi, Kharif, Zaid, Summer"
34.51,54.79,Loamy,Maize,"Kharif, Rabi, Summer"
31.75,46.82,Red,Maize,"Kharif, Rabi, Summer"
30.97,58.53,Loamy,Wheat,Rabi
29.87,63.64,Black,Wheat,Rabi
25.09,54.56,Red,Maize,"Kharif, Rabi, Summer"
29.76,45.13,Red,Cotton,Kharif
26.91,44.27,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
31.98,55.89,Red,Barley,"Rabi, Kharif, Zaid, Summer"
31.38,67.84,Loamy,Maize,"Kharif, Rabi, Summer"
29.08,54.19,Clayey,Maize,"Kharif, Rabi, Summer"
40.0,60.8,Black,Cotton,Kharif
32.61,54.79,Black,Barley,"Rabi, Kharif, Zaid, Summer"
23.88,57.05,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
30.78,64.7,Clayey,Pulses,"Rabi, Kharif"
32.0,57.73,Black,Wheat,Rabi
34.22,56.39,Red,Pulses,"Rabi, Kharif"
36.56,76.26,Sandy,Wheat,Rabi
37.0,62.94,Loamy,Pulses,"Rabi, Kharif"
31.96,49.13,Loamy,Maize,"Kharif, Rabi, Summer"
38.65,62.79,Black,Cotton,Kharif
26.11,52.09,Black,Pulses,"Rabi, Kharif"
39.68,75.02,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
38.0,61.23,Black,Wheat,Rabi
36.29,71.0,Black,Barley,"Rabi, Kharif, Zaid, Summer"
32.76,61.99,Black,Pulses,"Rabi, Kharif"
33.01,61.9,Sandy,Wheat,Rabi
30.15,68.23,Sandy,Wheat,Rabi
31.08,61.81,Red,Wheat,Rabi
34.99,65.23,Clayey,Maize,"Kharif, Rabi, Summer"
37.61,61.11,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
36.02,69.03,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
29.87,56.39,Sandy,Cotton,Kharif
34.94,57.44,Sandy,Wheat,Rabi
37.33,67.17,Loamy,Maize,"Kharif, Rabi, Summer"
33.56,66.29,Clayey,Wheat,Rabi
30.78,50.3,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
31.26,67.75,Black,Barley,"Rabi, Kharif, Zaid, Summer"
32.24,55.75,Black,Pulses,"Rabi, Kharif"
31.18,60.59,Black,Pulses,"Rabi, Kharif"
28.92,49.12,Black,Pulses,"Rabi, Kharif"
36.08,74.86,Red,Wheat,Rabi
