Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Suitable Season
26.0,52.0,38.0,Sandy,Maize,37,0,0,Urea,"Kharif, Rabi, Summer"
34.0,65.0,62.0,Black,Cotton,7,9,30,14-35-14,Kharif
26.0,52.0,35.0,Sandy,Barley,12,10,13,17-17-17,"Rabi, Kharif, Zaid, Summer"
25.0,50.0,64.0,Red,Cotton,9,0,10,20-20,Kharif
33.0,64.0,50.0,Loamy,Wheat,41,0,0,Urea,Rabi
27.0,54.0,28.0,Clayey,Pulses,13,0,40,DAP,"Rabi, Kharif"
31.0,62.0,48.0,Sandy,Maize,14,15,12,17-17-17,"Kharif, Rabi, Summer"
25.0,50.0,65.0,Loamy,Cotton,36,0,0,Urea,Kharif
33.0,64.0,34.0,Clayey,Pulses,38,0,0,Urea,"Rabi, Kharif"
25.0,50.0,39.0,Sandy,Barley,21,0,19,28-28,"Rabi, Kharif, Zaid, Summer"
28.0,54.0,65.0,Black,Cotton,39,0,0,Urea,Kharif
29.0,58.0,52.0,Loamy,Wheat,13,0,36,DAP,Rabi
26.0,52.0,44.0,Sandy,Maize,23,0,20,28-28,"Kharif, Rabi, Summer"
30.0,60.0,63.0,Red,Cotton,9,9,29,14-35-14,Kharif
26.0,52.0,36.0,Clayey,Pulses,14,0,13,20-20,"Rabi, Kharif"
36.0,68.0,38.0,Sandy,Barley,7,9,30,14-35-14,"Rabi, Kharif, Zaid, Summer"
26.0,52.0,48.0,Loamy,Wheat,23,0,19,28-28,Rabi
30.0,60.0,61.0,Loamy,Cotton,8,10,31,14-35-14,Kharif
27.0,54.0,30.0,Clayey,Pulses,13,0,13,20-20,"Rabi, Kharif"
35.0,67.0,42.0,Sandy,Barley,10,0,35,DAP,"Rabi, Kharif, Zaid, Summer"
38.0,70.0,48.0,Loamy,Wheat,8,8,28,14-35-14,Rabi
33.0,64.0,51.0,Sandy,Maize,5,9,29,14-35-14,"Kharif, Rabi, Summer"
28.0,54.0,38.0,Clayey,Pulses,40,0,0,Urea,"Rabi, Kharif"
30.0,60.0,47.0,Sandy,Barley,12,0,42,DAP,"Rabi, Kharif, Zaid, Summer"
31.0,62.0,63.0,Red,Cotton,11,12,15,17-17-17,Kharif
34.0,65.0,54.0,Loamy,Wheat,38,0,0,Urea,Rabi
30.0,60.0,49.0,Loamy,Wheat,13,0,9,20-20,Rabi
34.0,65.0,64.0,Black,Cotton,24,0,20,28-28,Kharif
28.0,54.0,47.0,Sandy,Barley,5,18,15,10-26-26,"Rabi, Kharif, Zaid, Summer"
36.0,68.0,62.0,Red,Cotton,15,0,40,DAP,Kharif
25.0,50.0,40.0,Clayey,Pulses,6,19,16,10-26-26,"Rabi, Kharif"
26.0,52.0,39.0,Clayey,Pulses,21,0,23,28-28,"Rabi, Kharif"
34.0,65.0,48.0,Loamy,Wheat,23,0,19,28-28,Rabi
30.0,60.0,47.0,Sandy,Maize,22,0,21,28-28,"Kharif, Rabi, Summer"
26.0,52.0,36.0,Clayey,Pulses,7,16,20,10-26-26,"Rabi, Kharif"
34.0,65.0,63.0,Red,Cotton,14,0,38,DAP,Kharif
29.0,58.0,65.0,Black,Cotton,14,0,35,DAP,Kharif
31.0,62.0,44.0,Sandy,Barley,21,0,28,28-28,"Rabi, Kharif, Zaid, Summer"
35.0,67.0,28.0,Clayey,Pulses,8,7,31,14-35-14,"Rabi, Kharif"
36.0,68.0,50.0,Loamy,Wheat,12,18,19,10-26-26,Rabi
29.0,58.0,61.0,Loamy,Cotton,11,0,38,DAP,Kharif
28.0,54.0,25.0,Sandy,Maize,9,10,30,14-35-14,"Kharif, Rabi, Summer"
25.0,50.0,32.0,Clayey,Pulses,24,0,19,28-28,"Rabi, Kharif"
38.0,72.0,51.0,Loamy,Wheat,39,0,0,Urea,Rabi
27.58,59.21,31.27,Loamy,Cotton,20,2,15,DAP,Kharif
27.25,63.62,40.35,Black,Wheat,28,0,22,Urea,Rabi
